"Collected","Badge","Card","Booster Only","Badge Section","Effects","Wiki URL","Image URL"
"","Wave Badge","Seacle Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Seacle#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Seacle_Familiar.png"
"","Wave Badge","Cico Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Cico#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Cico_Familiar.png"
"","Wave Badge","Krappy Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Krappy#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Krappy_Familiar.png"
"","Wave Badge","Bubble Fish Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Bubble_Fish#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Bubble_Fish_Familiar.png"
"","Wave Badge","Flower Fish Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Flower_Fish#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Flower_Fish_Familiar.png"
"","Wave Badge","Krip Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Krip#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Krip_Familiar.png"
"","Wave Badge","Mask Fish Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Mask_Fish#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Mask_Fish_Familiar.png"
"","Wave Badge","Scuba Pepe Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Scuba_Pepe#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Scuba_Pepe_Familiar.png"
"","Wave Badge","Jr. Seal Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Jr._Seal#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Jr._Seal_Familiar.png"
"","Wave Badge","Poopa Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Poopa#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Poopa_Familiar.png"
"","Wave Badge","Poison Poopa Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Poison_Poopa#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Poison_Poopa_Familiar.png"
"","Wave Badge","Sparker Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Sparker#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Sparker_Familiar.png"
"","Wave Badge","Freezer Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Freezer#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Freezer_Familiar.png"
"","Wave Badge","Seruf Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Seruf#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Seruf_Familiar.png"
"","Wave Badge","Goby Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Goby#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Goby_Familiar.png"
"","Wave Badge","Bone Fish Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Bone_Fish#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Bone_Fish_Familiar.png"
"","Wave Badge","Squid Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Squid#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Squid_Familiar.png"
"","Wave Badge","Risell Squid Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Risell_Squid#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Risell_Squid_Familiar.png"
"","Wave Badge","Shark Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Shark#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Shark_Familiar.png"
"","Wave Badge","Cold Shark Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Cold_Shark#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Cold_Shark_Familiar.png"
"","Snow Badge","Jr. Sentinel Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Jr._Sentinel#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Jr._Sentinel_Familiar.png"
"","Snow Badge","Sentinel Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Sentinel#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Sentinel_Familiar.png"
"","Snow Badge","Fire Sentinel Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Fire_Sentinel#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Fire_Sentinel_Familiar.png"
"","Snow Badge","Ice Sentinel Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Ice_Sentinel#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Ice_Sentinel_Familiar.png"
"","Snow Badge","Leatty Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Leatty#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Leatty_Familiar.png"
"","Snow Badge","Dark Leatty Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Dark_Leatty#Orbis_Tower","https://media.maplestorywiki.net/yetidb/Use_Dark_Leatty_Familiar.png"
"","Snow Badge","Jr. Pepe Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Jr._Pepe#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Jr._Pepe_Familiar.png"
"","Snow Badge","Jr. Yeti Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Jr._Yeti#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Jr._Yeti_Familiar.png"
"","Snow Badge","Dark Jr. Yeti Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Dark_Jr._Yeti#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Dark_Jr._Yeti_Familiar.png"
"","Snow Badge","Dark Pepe Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Dark_Pepe#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Dark_Pepe_Familiar.png"
"","Snow Badge","Hector Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Hector#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Hector_Familiar.png"
"","Snow Badge","White Fang Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/White_Fang#El_Nath","https://media.maplestorywiki.net/yetidb/Use_White_Fang_Familiar.png"
"","Snow Badge","Snow Witch Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; DEX: +1","https://maplestorywiki.net/w/Snow_Witch#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Snow_Witch_Familiar.png"
"","Depths Badge","Yeti Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Yeti#Normal","https://media.maplestorywiki.net/yetidb/Use_Yeti_Familiar.png"
"","Depths Badge","Dark Yeti Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Dark_Yeti#Normal","https://media.maplestorywiki.net/yetidb/Use_Dark_Yeti_Familiar.png"
"","Depths Badge","Werewolf Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Werewolf_(Monster)#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Werewolf_Familiar.png"
"","Depths Badge","Flyeye Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Flyeye#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Flyeye_Familiar.png"
"","Depths Badge","Nyalmo Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Nyalmo#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Nyalmo_Familiar.png"
"","Depths Badge","Lycanthrope Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Lycanthrope#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Lycanthrope_Familiar.png"
"","Depths Badge","Coolie Zombie Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Coolie_Zombie#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Coolie_Zombie_Familiar.png"
"","Depths Badge","Lich Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Lich#El_Nath","https://media.maplestorywiki.net/yetidb/Use_Lich_Familiar.png"
"","Depths Badge","[*]Miner Zombie Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Miner_Zombie#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Miner_Zombie_Familiar.png"
"","Depths Badge","[*]Jr. Cerebes Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Jr._Cerebes#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Jr._Cerebes_Familiar.png"
"","Depths Badge","[*]Cerebes Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1%; Magic Attack: +2","https://maplestorywiki.net/w/Cerebes#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Cerebes_Familiar.png"
"","Cloud Badge","Straw Target Dummy Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Straw_Target_Dummy#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Straw_Target_Dummy_Familiar.png"
"","Cloud Badge","Wooden Target Dummy Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Wooden_Target_Dummy#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Wooden_Target_Dummy_Familiar.png"
"","Cloud Badge","Chipmunk Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Chipmunk#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Chipmunk_Familiar.png"
"","Cloud Badge","Red Porky Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Red_Porky#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Red_Porky_Familiar.png"
"","Cloud Badge","Black Porky Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Black_Porky#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Black_Porky_Familiar.png"
"","Cloud Badge","Blue Flower Serpent Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Blue_Flower_Serpent#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Blue_Flower_Serpent_Familiar.png"
"","Cloud Badge","Red Flower Serpent Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Red_Flower_Serpent#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Red_Flower_Serpent_Familiar.png"
"","Cloud Badge","Grizzly Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Grizzly#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Grizzly_Familiar.png"
"","Cloud Badge","Panda Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Panda#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Panda_Familiar.png"
"","Cloud Badge","Cute Reindeer Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Cute_Reindeer#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Cute_Reindeer_Familiar.png"
"","Cloud Badge","Peach Monkey Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Peach_Monkey#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Peach_Monkey_Familiar.png"
"","Cloud Badge","The Book Ghost Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/The_Book_Ghost#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_The_Book_Ghost_Familiar.png"
"","Cloud Badge","Sage Cat Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Sage_Cat#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Sage_Cat_Familiar.png"
"","Cloud Badge","Master Dummy Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Master_Dummy#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Master_Dummy_Familiar.png"
"","Cloud Badge","Jar Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Jar#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Jar_Familiar.png"
"","Cloud Badge","Ginseng Jar Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Ginseng_Jar#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Ginseng_Jar_Familiar.png"
"","Cloud Badge","Bellflower Root Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Bellflower_Root#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Bellflower_Root_Familiar.png"
"","Cloud Badge","Sr. Bellflower Root Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Sr._Bellflower_Root#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Sr._Bellflower_Root_Familiar.png"
"","Cloud Badge","Mr. Alli Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Mr._Alli#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Mr._Alli_Familiar.png"
"","Cloud Badge","Kru Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Kru#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Kru_Familiar.png"
"","Cloud Badge","Tae Roon Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Tae_Roon#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_Tae_Roon_Familiar.png"
"","Cloud Badge","King Sage Cat Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/King_Sage_Cat#Mu_Lung","https://media.maplestorywiki.net/yetidb/Use_King_Sage_Cat_Familiar.png"
"","Cloud Badge","Captain Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Captain#Herb_Town","https://media.maplestorywiki.net/yetidb/Use_Captain_Familiar.png"
"","Cloud Badge","Lord Pirate Familiar","FALSE","Does Not Require Booster Packs","All Stats: +1; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Lord_Pirate_(Monster)#Normal","https://media.maplestorywiki.net/yetidb/Use_Lord_Pirate_Familiar.png"
"","Hatching Badge","Rash Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Rash#Leafre","https://media.maplestorywiki.net/yetidb/Use_Rash_Familiar.png"
"","Hatching Badge","Beetle Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Beetle#Leafre","https://media.maplestorywiki.net/yetidb/Use_Beetle_Familiar.png"
"","Hatching Badge","Dark Rash Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Dark_Rash#Leafre","https://media.maplestorywiki.net/yetidb/Use_Dark_Rash_Familiar.png"
"","Hatching Badge","Dual Beetle Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Dual_Beetle#Leafre","https://media.maplestorywiki.net/yetidb/Use_Dual_Beetle_Familiar.png"
"","Hatching Badge","Hoblin Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Hoblin#Leafre","https://media.maplestorywiki.net/yetidb/Use_Hoblin_Familiar.png"
"","Hatching Badge","Green Hoblin Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Green_Hoblin#Leafre","https://media.maplestorywiki.net/yetidb/Use_Green_Hoblin_Familiar.png"
"","Hatching Badge","Hankie Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Hankie#Leafre","https://media.maplestorywiki.net/yetidb/Use_Hankie_Familiar.png"
"","Hatching Badge","Harp Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Harp#Leafre","https://media.maplestorywiki.net/yetidb/Use_Harp_Familiar.png"
"","Hatching Badge","Blood Harp Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Blood_Harp#Leafre","https://media.maplestorywiki.net/yetidb/Use_Blood_Harp_Familiar.png"
"","Hatching Badge","Birk Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Birk#Leafre","https://media.maplestorywiki.net/yetidb/Use_Birk_Familiar.png"
"","Hatching Badge","Black Kentaurus Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Black_Kentaurus#Leafre","https://media.maplestorywiki.net/yetidb/Use_Black_Kentaurus_Familiar.png"
"","Hatching Badge","Red Kentaurus Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Red_Kentaurus#Leafre","https://media.maplestorywiki.net/yetidb/Use_Red_Kentaurus_Familiar.png"
"","Hatching Badge","Blue Kentaurus Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Blue_Kentaurus#Leafre","https://media.maplestorywiki.net/yetidb/Use_Blue_Kentaurus_Familiar.png"
"","Hatching Badge","Manon Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Manon#Leafre","https://media.maplestorywiki.net/yetidb/Use_Manon_Familiar.png"
"","Hatching Badge","Griffey Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Griffey#Leafre","https://media.maplestorywiki.net/yetidb/Use_Griffey_Familiar.png"
"","Hatching Badge","Red Dragon Turtle Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Red_Dragon_Turtle#Leafre","https://media.maplestorywiki.net/yetidb/Use_Red_Dragon_Turtle_Familiar.png"
"","Hatching Badge","Rexton Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Rexton#Leafre","https://media.maplestorywiki.net/yetidb/Use_Rexton_Familiar.png"
"","Hatching Badge","Brexton Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Brexton#Leafre","https://media.maplestorywiki.net/yetidb/Use_Brexton_Familiar.png"
"","Hatching Badge","Red Wyvern Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Red_Wyvern#Leafre","https://media.maplestorywiki.net/yetidb/Use_Red_Wyvern_Familiar.png"
"","Hatching Badge","Green Cornian Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Green_Cornian#Leafre","https://media.maplestorywiki.net/yetidb/Use_Green_Cornian_Familiar.png"
"","Hatching Badge","Blue Wyvern Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Blue_Wyvern#Leafre","https://media.maplestorywiki.net/yetidb/Use_Blue_Wyvern_Familiar.png"
"","Hatching Badge","Dark Wyvern Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Dark_Wyvern#Leafre","https://media.maplestorywiki.net/yetidb/Use_Dark_Wyvern_Familiar.png"
"","Hatching Badge","Dark Cornian Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Dark_Cornian#Leafre","https://media.maplestorywiki.net/yetidb/Use_Dark_Cornian_Familiar.png"
"","Hatching Badge","Leviathan Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Leviathan#Leafre","https://media.maplestorywiki.net/yetidb/Use_Leviathan_Familiar.png"
"","Hatching Badge","Skelegon Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Skelegon#Leafre","https://media.maplestorywiki.net/yetidb/Use_Skelegon_Familiar.png"
"","Hatching Badge","Nest Golem Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Nest_Golem#Leafre","https://media.maplestorywiki.net/yetidb/Use_Nest_Golem_Familiar.png"
"","Hatching Badge","Dragonoir Familiar","FALSE","Does Not Require Booster Packs","All Skill Levels: +1 (except 5th Job Skills)","https://maplestorywiki.net/w/Dragonoir#Dragon_Rider_Party_Quest","https://media.maplestorywiki.net/yetidb/Use_Dragonoir_Familiar.png"
"","Time Badge","Eye of Time Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Eye_of_Time#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Eye_of_Time_Familiar.png"
"","Time Badge","Memory Monk Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Memory_Monk#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Memory_Monk_Familiar.png"
"","Time Badge","Memory Monk Trainee Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Memory_Monk_Trainee#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Memory_Monk_Trainee_Familiar.png"
"","Time Badge","Memory Guardian Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Memory_Guardian#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Memory_Guardian_Familiar.png"
"","Time Badge","Chief Memory Guardian Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Chief_Memory_Guardian#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Chief_Memory_Guardian_Familiar.png"
"","Time Badge","Dodo Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Dodo#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Dodo_Familiar.png"
"","Time Badge","Qualm Monk Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Qualm_Monk#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Qualm_Monk_Familiar.png"
"","Time Badge","Qualm Monk Trainee Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Qualm_Monk_Trainee#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Qualm_Monk_Trainee_Familiar.png"
"","Time Badge","Qualm Guardian Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Qualm_Guardian#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Qualm_Guardian_Familiar.png"
"","Time Badge","Chief Qualm Guardian Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Chief_Qualm_Guardian#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Chief_Qualm_Guardian_Familiar.png"
"","Time Badge","Lilynouch Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Lilynouch#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Lilynouch_Familiar.png"
"","Time Badge","Oblivion Monk Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Oblivion_Monk#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Oblivion_Monk_Familiar.png"
"","Time Badge","Oblivion Monk Trainee Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Oblivion_Monk_Trainee#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Oblivion_Monk_Trainee_Familiar.png"
"","Time Badge","Oblivion Guardian Familiar","FALSE","Does Not Require Booster Packs","3% chance to recover 20 HP when attacking; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Oblivion_Guardian#Temple_of_Time","https://media.maplestorywiki.net/yetidb/Use_Oblivion_Guardian_Familiar.png"
